file_name,file_path,cloc
LandViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\LandViewModel.kt,0
NewsScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\news\NewsScreen.kt,0
NewsViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\news\NewsViewModel.kt,0
NewsDetailScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\newsdetail\NewsDetailScreen.kt,0
NewsDetailViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\newsdetail\NewsDetailViewModel.kt,0
NotificationScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\notification\NotificationScreen.kt,0
CheckDiseaseScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\planthealth\CheckDiseaseScreen.kt,12
CheckDiseaseUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\planthealth\CheckDiseaseUiState.kt,0
CheckDiseaseViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\planthealth\CheckDiseaseViewModel.kt,0
DiseaseDetailScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\planthealth\DiseaseDetailScreen.kt,1
DiseaseDetailViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\planthealth\DiseaseDetailViewModel.kt,0
PlantHealthScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\planthealth\PlantHealthScreen.kt,0
